emp_no,last_name,birth_date,dept_no,from_date,to_date,title,title_from,title_to
10095,Morton,1965-01-03,d007,1994-03-10,9999-01-01,Senior Staff,2000-03-09,9999-01-01
10122,Esposito,1965-01-19,d005,1998-08-06,9999-01-01,Technique Leader,1998-08-06,9999-01-01
10291,Seghrouchni,1965-01-23,d007,1987-03-30,9999-01-01,Senior Staff,1994-03-30,9999-01-01
10476,Iisaka,1965-01-01,d008,1987-09-20,9999-01-01,Senior Staff,1994-09-20,9999-01-01
10663,Noriega,1965-01-09,d004,1999-02-12,9999-01-01,Technique Leader,1993-01-23,9999-01-01
10762,Himler,1965-01-19,d008,1992-01-21,9999-01-01,Senior Staff,1999-01-21,9999-01-01
10933,Seghrouchni,1965-01-24,d004,1993-08-02,9999-01-01,Senior Engineer,1993-08-02,9999-01-01
12155,Glinert,1965-01-21,d004,1993-09-16,9999-01-01,Senior Engineer,2001-09-16,9999-01-01
12408,Sudkamp,1965-01-10,d005,1995-04-18,9999-01-01,Senior Engineer,1995-04-18,9999-01-01
12643,Schurmann,1965-01-30,d002,1998-12-31,9999-01-01,Staff,1998-12-31,9999-01-01
